Peak Number,Name,Molecular Weight,Similarity Score,1st RT,2nd RT,Area
749,"Phenol, 2-methoxy-",124,892,1375.49,2.079,36520
816,"Pyrimidine-2,4,6-trione, 1-cyclohexyl-5-[(2-piperazin-1-yl-ethylamino)methylene]-",349,845,1501.42,2.779,154753
867,"Bicyclo[3.1.0]hexan-2-one, 5-(1-methylethyl)-",138,882,1578.37,2.006,73105
911,Lilac aldehyde D,168,719,1644.83,2.013,134045
1136,Phthalic anhydride,148,916,2026.12,2.614,94040
1424,3-(4-Methylbenzoyl)acrylic acid,190,927,2666.25,2.297,100271
415,"Pyrazine, 2,3-dimethyl-",108,848,864.78,1.822,17600
566,"4-Hexen-2-one, 3-methyl-",112,902,1106.14,2.211,35857
672,"2-Octenal, (E)-",126,857,1270.55,1.65,20529
801,"4,6-Dimethyl-3,5-dioxo-2,3,4,5-tetrahydro-1,2,4-triazine",141,775,1462.94,2.185,101041
805,"Bicyclo[3.1.0]hex-3-en-2-one, 5-(1-methylethyl)-",136,810,1466.44,1.993,19301
833,"1,3-Dioxolane, 2-(1-methylpropyl)-",130,961,1529.4,2.119,34944
1032,Carvenone,152,907,1858.21,1.947,10162
1071,"1,3-Phenylene, bis(3-phenylpropenoate)",370,811,1931.67,2.158,6394.4
1084,"Cyclohexene, 3-acetoxy-4-(1-hydroxy-1-methylethyl)-1-methyl-",212,796,1959.65,1.927,5061.3
1105,"3-Cyclopenten-1-one, 2,2,5,5-tetramethyl-",138,802,1980.64,1.987,47426
1109,"2H-Pyran-2-one, 5,6-dihydro-4,6,6-trimethyl-",140,690,1987.64,2.039,12177
1138,1-Butoxy-2-methyl-2-butene (Z)-,142,553,2029.61,2.178,13279
1210,"2-Hexenoic acid, 3,4,4-trimethyl-5-oxo-, (Z)-",170,705,2145.05,2.125,26274
1215,"Ethanone, 1-(3,4-dimethylphenyl)-",148,767,2148.55,2.64,36484
1240,2-Methyl-5-phenyltetrazole,160,779,2201.02,2.488,5394.4
1270,"Octanoic acid, 7-methoxy-3,7-dimethyl-, methyl ester",216,706,2270.98,2.251,27517
1393,"2(3H)-Furanone, dihydro-5,5-dimethyl-4-(3-oxobutyl)-",184,759,2603.29,2.554,19764
1454,"Phenol, 3,4,5-trimethoxy-",184,857,2757.2,2.581,64730
1507,"1,3-Dioxolane, 2-(1-methylethyl)-",116,878,2897.12,2.383,37222
1527,"Valine, N-methyl-n-butoxycarbonyl-, pentyl ester",301,574,2960.08,2.845,5519.1
1587,"2-Propanol, 1-chloro-, phosphate (3:1)",326,824,3138.48,2.264,26742
1610,Caffeine,194,916,3246.92,3.161,18119
1619,"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",296,869,3274.9,1.439,8610.5
1633,Dibutyl phthalate,278,921,3358.85,2.363,40302
1718,Cyclic octaatomic sulfur,256,751,3600.22,2.904,46095
1773,"1H-[1,2,4]Triazolo[4,3-b][1,2,4]triazole-3,6-diamine",139,719,3712.15,2.297,9826.5
1790,"Adipic acid, 2-decyl isobutyl ester",342,916,3733.14,1.386,4380
1868,"1-Propanol, 2,3-dichloro-, phosphate (3:1)",428,877,3855.57,1.551,17133
1901,"s-Trioxane, 2,4,6-triethyl-",174,863,3887.05,1.188,108578
1967,"1,3-Dioxolane, 2-(dichloromethyl)-",156,941,3950.02,1.518,41750
2028,"1-Penten-3-ol, 3-methyl-",100,817,3985,1.432,15741
2166,Octocrylene,361,786,4047.96,1.584,3982.8
2504,"Phthalic acid, 7-methyloct-3-yn-5-yl undecyl ester",442,612,4212.37,1.683,4675.7
1904,"Ethanol, 2-butoxy-, phosphate (3:1)",398,886,3890.55,1.327,76159
2328,Octadecanal,268,891,4121.42,1.294,55158
